StreetName,PreK-2School,City,Zip,Notes,MinHouse,MaxHouse,List
Strader,Gretchko,West Bloomfield,48324,,,,
Strandwyck,Doherty,West Bloomfield,48322,,,,
Stratford,Doherty,West Bloomfield,48322,,,,
Strong Ct East,Doherty,West Bloomfield,48323,,,,
Strong Ct West,Doherty,West Bloomfield,48323,,,,
Sugar Maple Way,Gretchko,West Bloomfield,48324,,,,
Summer Ct,Doherty,West Bloomfield,48322,,,,
Summers Rd,Roosevelt,Keego Harbor,48320,3133-3155 Summers Rd is part of Harbor Village sub,,,
Summers Ridge Dr,Roosevelt,Orchard Lake,48324,,,,
Sunset,Gretchko,Orchard Lake,48324,,,,
Sunshine,Gretchko,Orchard Lake,48324,,,,
Swan Lake,Doherty,West Bloomfield,48322,,,,
Swan Lake Ct,Doherty,West Bloomfield,48322,,,,
Sycamore,Gretchko,West Bloomfield,48324,,,,
Sylvan Glen,Roosevelt,Keego Harbor,48320,,,,
Tabor,Doherty,West Bloomfield,48322,,,,
Tamerlane,Doherty,West Bloomfield,48322,,,,
Teddington,Doherty,West Bloomfield,48323,,,,
Tequesta,Doherty,West Bloomfield,48323,,5306,5629,
Terrybrook,Doherty,West Bloomfield,48322,,,,
Thorntree,Doherty,West Bloomfield,48322,,,,
Thousand Oaks Dr,Gretchko,West Bloomfield,48324,,,,
Three Lakes Ln,Gretchko,Orchard Lake,48324,,,,
Timber Crest Ct,Gretchko,West Bloomfield,48324,,,,
Timberridge Dr,Gretchko,West Bloomfield,48324,,,,
Timberridge Ct,Gretchko,West Bloomfield,48324,,,,
Timberwood N,Doherty,West Bloomfield,48322,,,,
Timberwood S,Doherty,West Bloomfield,48322,,,,
Trail Ridge Ct,Doherty,West Bloomfield,48322,,,,
Trailview,Doherty,West Bloomfield,48322,,,,
Trailview Ct,Doherty,West Bloomfield,48322,,,,
Trailway Ct,Doherty,West Bloomfield,48322,,,,
Trailwood Ln,Doherty,West Bloomfield,48322,,,,
Treeline Dr,Doherty,West Bloomfield,48322,,,,
Trotter Ln,Doherty,West Bloomfield,48322,,,,
Twig,Doherty,West Bloomfield,48323,,,,
Twin Fawn Ln,Gretchko,Orchard Lake,48324,,,,
Twin Oaks Ct,Gretchko,West Bloomfield,48324,,,,
Tyrconnel,Doherty,West Bloomfield,48323,,3842,3886,
Upper Straits,Gretchko,West Bloomfield,48324,,,,
Valewood Rd,Doherty,West Bloomfield,48323,,,,
Valley Dr,Gretchko,Orchard Lake,48324,,,,
Valleyview Ct,Doherty,West Bloomfield,48323,,,,4635;4645;4655;4665;4675;4685;4694;4700
Varjo,Roosevelt,Keego Harbor,48320,,,,
Vassar Dr,Doherty,West Bloomfield,48322,,,,
Village Commons Dr,Doherty,West Bloomfield,48322,,,,
Village Commons Ct,Doherty,West Bloomfield,48322,,,,
Village Ct,Doherty,Orchard Lake,48323,,,,
Village Park Dr,Doherty,West Bloomfield,48322,,,,
Village Place Dr,Doherty,West Bloomfield,48322,,,,
Village Place Ct,Doherty,West Bloomfield,48322,,,,
"Village Square Dr,Ct,Cir ",Doherty,West Bloomfield,48322,,,,
Vineyard Point,Doherty,West Bloomfield,48322,,,,
Vinona,Gretchko,West Bloomfield,48324,No houses,,,
Virgie,Gretchko,West Bloomfield,48324,,,,
Virginia Ct,Roosevelt,Keego Harbor,48320,,,,
Wall,Roosevelt,Keego Harbor,48320,,,,
Walnut,Gretchko,Orchard Lake,48324,,,,
Walnut,Gretchko,West Bloomfield,48324,,,,
Walnut Creek,Doherty,West Bloomfield,48322,,,,
Walnut Creek Cir,Doherty,West Bloomfield,48322,,,,
Walnut Knoll Ct,Doherty,West Bloomfield,48323,,,,
Walnut Lake Rd,Doherty,West Bloomfield,48322,,,,3025;3049;3075;4785;4100;4300;5070
Walnut Lake Rd,Doherty,West Bloomfield,48322,,3111,3925,
Walnut Lake Rd,Doherty,West Bloomfield,48322,,4801,4959,
Walnut Lake Rd,Doherty,West Bloomfield,48322,,5085,5725,
Walnut Lake Rd,Doherty,West Bloomfield,48322,,4095,4725,
Walnut Lake Rd,Doherty,West Bloomfield,48323,,,,3025;3049;3075;4785;4100;4300;5070
Walnut Lake Rd,Doherty,West Bloomfield,48323,,3111,3925,
Walnut Lake Rd,Doherty,West Bloomfield,48323,,4801,4959,
Walnut Lake Rd,Doherty,West Bloomfield,48323,,5085,5725,
Walnut Lake Rd,Doherty,West Bloomfield,48323,,4095,4725,
Walnut Ridge Ct,Doherty,West Bloomfield,48322,,,,
Walnut Woods,Doherty,West Bloomfield,48323,,,,
Wardell Ct,Gretchko,West Bloomfield,48324,,,,
Ward's Point,Roosevelt,Orchard Lake,48324,,,,
Warrenshire,Doherty,West Bloomfield,48322,,,,
Warwick,Roosevelt,Sylvan Lake,48320,,,,
Watercroft Ct,Doherty,West Bloomfield,48322,,,,
Watergate,Doherty,West Bloomfield,48323,,,,
Wayward Dr,Roosevelt,Keego Harbor,48320,,1502,1534,
Weathervane,Gretchko,West Bloomfield,48324,,,,
Wellesley,Doherty,West Bloomfield,48322,,,,
Wellesley Ct,Doherty,West Bloomfield,48322,,,,
Wellington Ct,Gretchko,West Bloomfield,48324,,,,
West Bloomfield Lake Rd,Doherty,West Bloomfield,48323,,,,
Westbrooke Dr,Doherty,West Bloomfield,48322,,,,
Westbrooke Ct,Doherty,West Bloomfield,48322,,,,
Westcombe,Gretchko,West Bloomfield,48324,,,,
West Oaks Dr,Gretchko,West Bloomfield,48324,,,,
Westover,Doherty,West Bloomfield,48323,,,,4457;4463;4469
West Shore,Gretchko,Orchard Lake,48324,,,,
Whispering Woods Dr,Doherty,West Bloomfield,48322,,,,
White Birch,Doherty,West Bloomfield,48323,,,,
Wild Ridge Ln,Doherty,West Bloomfield,48322,,,,
Wildwood Ln,Gretchko,West Bloomfield,48324,,,,
Wildwood Ct,Gretchko,West Bloomfield,48324,,,,
Will-O-Way,Doherty,West Bloomfield,48323,,,,
Willow Beach,Roosevelt,Keego Harbor,48320,,,,
Willow Ct,Gretchko,West Bloomfield,48324,,,,
Willow Ln,Gretchko,Orchard Lake,48324,,,,
Willow Rd,Gretchko,West Bloomfield,48324,,5840,6683,
Willow Rd,Gretchko,West Bloomfield,48324,,,,6914;6932;6950;6968
Willow Valley,Doherty,West Bloomfield,48322,,,,
Winchester,Doherty,West Bloomfield,48322,,,,
Wincliff Dr,Doherty,West Bloomfield,48322,,,,
Windham Hill Ct,Doherty,West Bloomfield,48323,,,,
Winding Brook Ct,Doherty,West Bloomfield,48322,,,,
Windmill Ln,Gretchko,West Bloomfield,48324,,,,
Windside,Gretchko,West Bloomfield,48324,,,,
Winton Ct,Gretchko,West Bloomfield,48324,,,,
Woodcliff Hill Rd W,Doherty,West Bloomfield,48323,,,,
Woodcliff Hill Rd,Doherty,West Bloomfield,48323,,,,
Woodlands Ln,Doherty,Orchard Lake,48323,,,,
Woodlawn,Gretchko,Orchard Lake,48324,,,,
Woodrow Wilson,Roosevelt,West Bloomfield,48324,Any apart. units with the addresses of 2332 or 2336 are Pontiac schools.,2400,2420,
Woodrow Wilson,Roosevelt,West Bloomfield,48324,Any apart. units with the addresses of 2332 or 2336 are Pontiac schools.,2500,2560,
Woodtrail Dr,Doherty,West Bloomfield,48322,,,,
Woodview,Gretchko,West Bloomfield,48324,,,,
Woodview Ct,Gretchko,West Bloomfield,48324,,,,
Wright Way E,Doherty,West Bloomfield,48322,,,,
Wright Way W,Doherty,West Bloomfield,48322,,,,
Wright Way S,Doherty,West Bloomfield,48322,,,,
Wynford,Doherty,West Bloomfield,48322,,,,
Yorktown,Doherty,West Bloomfield,48323,,,,
Yorkwood,Doherty,West Bloomfield,48322,,,,
